Ref,Val,Package,PosX,PosY,Rot,Side
"C1",".1u","C_0603",147.190000,-102.750000,90.000000,bottom
"C2",".1u","C_0603",147.180000,-113.120000,90.000000,bottom
"C3","22p","C_0603",142.120000,-96.680000,270.000000,bottom
"C4","1u","C_0603",127.930000,-107.780000,180.000000,bottom
"C5",".1u","C_0603",127.960000,-106.380000,180.000000,bottom
"C6","22p","C_0603",134.100000,-96.950000,270.000000,bottom
"C7",".1u","C_0603",128.250000,-113.500000,270.000000,bottom
"C8","4.7u","C_0603",130.910000,-98.070000,270.000000,bottom
"D1","1N4148","D_SOD123",46.730000,-54.090000,270.000000,bottom
"D2","1N4148","D_SOD123",45.330000,-73.650000,270.000000,bottom
"D3","1N4148","D_SOD123",43.090000,-91.340000,270.000000,bottom
"D4","1N4148","D_SOD123",66.690000,-52.940000,270.000000,bottom
"D5","1N4148","D_SOD123",64.550000,-73.450000,270.000000,bottom
"D6","1N4148","D_SOD123",61.860000,-92.980000,270.000000,bottom
"D7","1N4148","D_SOD123",84.420000,-53.030000,270.000000,bottom
"D8","1N4148","D_SOD123",82.080000,-73.620000,270.000000,bottom
"D9","1N4148","D_SOD123",80.310000,-91.790000,270.000000,bottom
"D10","1N4148","D_SOD123",103.440000,-58.260000,270.000000,bottom
"D11","1N4148","D_SOD123",101.690000,-78.170000,270.000000,bottom
"D12","1N4148","D_SOD123",98.830000,-96.410000,270.000000,bottom
"D13","1N4148","D_SOD123",77.290000,-111.390000,270.000000,bottom
"D14","1N4148","D_SOD123",123.430000,-60.620000,270.000000,bottom
"D15","1N4148","D_SOD123",120.580000,-79.980000,270.000000,bottom
"D16","1N4148","D_SOD123",120.730000,-99.450000,270.000000,bottom
"D17","1N4148","D_SOD123",87.820000,-110.440000,270.000000,bottom
"D18","1N4148","D_SOD123",172.120000,-58.050000,270.000000,bottom
"D19","1N4148","D_SOD123",174.220000,-77.480000,270.000000,bottom
"D20","1N4148","D_SOD123",175.980000,-97.220000,270.000000,bottom
"D21","1N4148","D_SOD123",191.900000,-109.350000,270.000000,bottom
"D22","1N4148","D_SOD123",191.320000,-55.070000,270.000000,bottom
"D23","1N4148","D_SOD123",193.060000,-75.410000,270.000000,bottom
"D24","1N4148","D_SOD123",194.620000,-93.930000,270.000000,bottom
"D25","1N4148","D_SOD123",212.850000,-113.300000,180.000000,bottom
"D26","1N4148","D_SOD123",208.320000,-52.180000,270.000000,bottom
"D27","1N4148","D_SOD123",211.060000,-70.520000,270.000000,bottom
"D28","1N4148","D_SOD123",213.160000,-88.890000,270.000000,bottom
"D29","1N4148","D_SOD123",228.210000,-53.320000,270.000000,bottom
"D30","1N4148","D_SOD123",229.760000,-71.900000,270.000000,bottom
"D31","1N4148","D_SOD123",233.560000,-89.760000,270.000000,bottom
"D32","1N4148","D_SOD123",244.050000,-55.090000,180.000000,bottom
"D33","1N4148","D_SOD123",246.360000,-74.690000,180.000000,bottom
"D34","1N4148","D_SOD123",245.510000,-93.920000,180.000000,bottom
"D35","1N4148","D_SOD123",148.290000,-63.960000,270.000000,bottom
"D101","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",71.020000,-113.090000,353.000000,bottom
"D102","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",37.620000,-92.810000,353.000000,bottom
"D103","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",39.800000,-56.930000,263.000000,bottom
"D104","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",105.180000,-46.130000,173.000000,bottom
"D105","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",172.080000,-45.930000,187.000000,bottom
"D106","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",233.960000,-56.540000,97.000000,bottom
"D107","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",238.660000,-92.890000,187.000000,bottom
"D108","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",204.640000,-113.250000,7.000000,bottom
"D111","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",138.065000,-118.290000,0.000000,bottom
"F1","Polyfuse_Small","Fuse_0805",134.870000,-47.520000,90.000000,bottom
"R1","5.1k","R_0805",125.350000,-48.240000,0.000000,bottom
"R2","5.1k","R_0805",145.220000,-49.570000,180.000000,bottom
"R3","22","R_0805",138.850000,-48.520000,90.000000,bottom
"R4","22","R_0805",136.900000,-48.660000,270.000000,bottom
"R5","10k","R_0805",131.210000,-77.090000,270.000000,bottom
"R6","10k","R_0805",150.300000,-110.250000,180.000000,bottom
"R7","4.7k","R_0805",131.360000,-72.340000,270.000000,bottom
"R8","4.7k","R_0805",144.840000,-72.160000,90.000000,bottom
"SW1","SW_Push","SW_SPST_TL3342",138.065000,-77.450000,0.000000,bottom
"U1","ATmega32U4-AU","ATMEGA32U4-AU",138.065000,-107.720000,0.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",138.065000,-35.200000,0.000000,bottom
"Y1","Crystal_GND2","Crystal_SMD_3225-4pin_3.2x2.5mm",138.205000,-96.650000,225.000000,bottom
"D109","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",138.065000,-78.640000,0.000000,top
"D110","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",138.065000,-88.670000,0.000000,top
